"name","parent_id","level_code","property_cost_method"
"مواد غذایی","","01","قیمت استاندارد"
"موجودات زنده ، محصولات خام ، فرآورده های حیوانی و گیاهی","","02","قیمت استاندارد"
"زیورآلات، اوراق بهادار و اشیای قیمتی","","06","قیمت استاندارد"
"نخ ، الیاف ، چوب ، کاغذ ، مقوا ، پوست ، چرم و محصولات وابسته به آنها","","07","قیمت استاندارد"
"مواد اولیه شیمیایی ، کانی ها ، سوخت ها و روغن ها","","08","قیمت استاندارد"
"ماشین آلات راه سازی ، مصالح ساختمانی ، فضا های پیش ساخته ، تاسیسات ، شیرآلات و ملزومات لوله کشی","","09","قیمت استاندارد"
"مبلمان ، اثاثیه ، لوازم التحریر ، منسوجات ، پوشاک و ملزومات خدماتی","","11","قیمت استاندارد"
"لوازم سرگرمی ، بازی ، موسیقی و ورزشی","","12","قیمت استاندارد"
"صنایع دستی","","14","قیمت استاندارد"
"تجهیزات حمل و نقل ریلی و کابلی","","17","قیمت استاندارد"
"وسایل نقلیه هوایی و تجهیزات ناوبری و فرودگاهی","","18","قیمت استاندارد"
"وسایل نقلیه دریایی و تجهیزات ناوبری و اسکله ای و سکو ها و حوضچه ها","","19","قیمت استاندارد"
"تجهیزات نظامی","","20","قیمت استاندارد"
"اقلام دارو یی ، پزشکی ، دندانپزشکی ، دامپزشکی ، آرایشی و بهداشتی","","21","قیمت استاندارد"
"تجهیزات حمل و نقل جاده ای و راهداری","","23","قیمت استاندارد"
"ابزارآلات و تجهیزات کارگاهی","","25","قیمت استاندارد"
"ملزومات صنایع زراعی ، دامپروری ، باغبانی و جنگل داری","","35","قیمت استاندارد"
"ملزومات صنایع نفت ، گاز ، پتروشیمی و معدنی","","36","قیمت استاندارد"
"ملزومات صنایع خاص","","37","قیمت استاندارد"
"ملزومات عام صنایع","","38","قیمت استاندارد"
"قطعات خودرو و ماشین های موتوری","","40","قیمت استاندارد"
"قطعات تجهیزات و ادوات ریلی و کابلی","","43","قیمت استاندارد"
"قطعات ادوات موسیقی ، وسایل ورزشی ، اسباب بازی ، سرگرمی و آموزشی و کمک آموزشی","","47","قیمت استاندارد"
"قطعات تجهیزات نظامی","","50","قیمت استاندارد"
"قطعات جنرال مکانیکی ، هیدرولیکی ، پنوماتیکی ، الکتریکی و الکترونیکی","","52","قیمت استاندارد"
